Póstnúmer;Staður;Heimilisfang
825;Stokkseyri;Hafnargötu 2
840;Laugarvatni;Laugarvatn
845;Flúðum;Akurgerði 4
850;Hellu;Þrúðvangi 10
851;Hellu;Þrúðvangi 10
860;Hvolsvelli;Austurvegi 2
861;Hvolsvelli;Austurvegi 2
870;Vík;Austurvegi 15
871;Vík;Austurvegi 15
880;Kirkjubæjarklaustri;Klausturvegi 15
900;Vestmannaeyjum;Vestmannabraut 22
902;Vestmannaeyjum;Vestmannabraut 22 (pósthólf)

